EPOCH: 256
Training: [256 / 0], d_loss: -368.087097, g_loss: 183.823563, elapsed time: 40.606094 seconds
Training: [256 / 1], d_loss: -362.441223, g_loss: 185.802307, elapsed time: 40.566414 seconds
Training: [256 / 2], d_loss: -120.301224, g_loss: 157.620682, elapsed time: 40.156112 seconds
Training: [256 / 3], d_loss: -222.076279, g_loss: 106.153801, elapsed time: 40.197913 seconds
Training: [256 / 4], d_loss: -262.888245, g_loss: 184.744965, elapsed time: 40.129228 seconds
Training: [256 / 5], d_loss: -369.515198, g_loss: 190.973648, elapsed time: 40.146959 seconds
Training: [256 / 6], d_loss: -372.134430, g_loss: 190.536224, elapsed time: 40.376569 seconds
Training: [256 / 7], d_loss: -367.821503, g_loss: 187.677887, elapsed time: 40.554415 seconds
Training: [256 / 8], d_loss: -360.957031, g_loss: 186.263489, elapsed time: 40.420859 seconds
Training: [256 / 9], d_loss: -346.446930, g_loss: 187.852356, elapsed time: 40.650419 seconds
Training: [256 / 10], d_loss: -363.233307, g_loss: 187.433151, elapsed time: 40.296442 seconds
Training: [256 / 11], d_loss: -365.982330, g_loss: 181.270462, elapsed time: 40.490268 seconds
Training: [256 / 12], d_loss: -134.617233, g_loss: 101.359283, elapsed time: 40.448155 seconds
Training: [256 / 13], d_loss: -309.338623, g_loss: 183.597534, elapsed time: 41.196050 seconds
EPOCH: 257
Training: [257 / 0], d_loss: -372.219238, g_loss: 191.516388, elapsed time: 40.319182 seconds
Training: [257 / 1], d_loss: -375.899841, g_loss: 192.771576, elapsed time: 40.611833 seconds
Training: [257 / 2], d_loss: -377.148376, g_loss: 192.949524, elapsed time: 40.093350 seconds
Training: [257 / 3], d_loss: -361.933807, g_loss: 188.920990, elapsed time: 40.204472 seconds
Training: [257 / 4], d_loss: -364.325806, g_loss: 185.510300, elapsed time: 39.947227 seconds
Training: [257 / 5], d_loss: -351.714722, g_loss: 187.996933, elapsed time: 40.273077 seconds
Training: [257 / 6], d_loss: -151.415619, g_loss: 20.976391, elapsed time: 40.080843 seconds
Training: [257 / 7], d_loss: -304.592102, g_loss: 182.074509, elapsed time: 40.023553 seconds
Training: [257 / 8], d_loss: -360.377075, g_loss: 188.869049, elapsed time: 40.060930 seconds
Training: [257 / 9], d_loss: -372.945129, g_loss: 192.149353, elapsed time: 40.089010 seconds
Training: [257 / 10], d_loss: -374.216675, g_loss: 191.749405, elapsed time: 40.214885 seconds
Training: [257 / 11], d_loss: -366.897522, g_loss: 184.210205, elapsed time: 40.072428 seconds
Training: [257 / 12], d_loss: -114.791794, g_loss: 167.757385, elapsed time: 39.928756 seconds
Training: [257 / 13], d_loss: -364.991852, g_loss: 191.034271, elapsed time: 39.847186 seconds
EPOCH: 258
Training: [258 / 0], d_loss: -374.213470, g_loss: 191.473526, elapsed time: 39.875048 seconds
Training: [258 / 1], d_loss: -372.059906, g_loss: 190.084885, elapsed time: 40.016130 seconds
